"Date","Video Views","Profile Views","Likes","Comments","Shares"
"March 2","0","0","0","0","0"
"March 3","0","0","0","0","0"
"March 4","0","0","0","0","0"
"March 5","0","0","0","0","0"
"March 6","0","0","0","0","0"
"March 7","0","0","0","0","0"
"March 8","0","0","0","0","0"
"March 9","0","0","0","0","0"
"March 10","0","0","0","0","0"
"March 11","0","0","0","0","0"
"March 12","0","0","0","0","0"
"March 13","0","0","0","0","0"
"March 14","0","0","0","0","0"
"March 15","0","0","0","0","0"
"March 16","0","0","0","0","0"
"March 17","0","0","0","0","0"
"March 18","0","0","0","0","0"
"March 19","0","0","0","0","0"
"March 20","0","0","0","0","0"
"March 21","0","0","0","0","0"
"March 22","0","0","0","0","0"
"March 23","0","0","0","0","0"
"March 24","0","0","0","0","0"
"March 25","0","0","0","0","0"
"March 26","0","0","0","0","0"
"March 27","0","0","0","0","0"
"March 28","0","0","0","0","0"
"March 29","0","0","0","0","0"
"March 30","0","0","0","0","0"
"March 31","0","0","0","0","0"
"April 1","0","0","0","0","0"
"April 2","0","0","0","0","0"
"April 3","995","54","35","6","1"
"April 4","53","8","2","0","0"
"April 5","101","4","5","2","0"
"April 6","80","7","3","0","0"
"April 7","56","6","3","0","0"
"April 8","48","8","1","0","0"
"April 9","25","1","0","0","0"
"April 10","27","3","1","0","0"
"April 11","23","2","0","0","0"
"April 12","18","4","0","0","0"
"April 13","18","0","0","0","0"
"April 14","12","2","0","0","0"
"April 15","12","2","0","0","0"
"April 16","17","0","1","0","0"
"April 17","10","1","0","0","0"
"April 18","14","1","0","0","0"
"April 19","4","2","0","0","0"
"April 20","4","0","0","0","0"
"April 21","14","8","0","0","0"
"April 22","739","22","19","6","0"
"April 23","75","3","2","0","0"
"April 24","48","4","3","0","0"
"April 25","48","3","1","0","0"
"April 26","39","6","2","1","0"
"April 27","35","4","1","0","0"
"April 28","25","1","0","0","0"
"April 29","20","0","0","0","1"
"April 30","14","0","0","0","0"
"May 1","16","0","1","0","1"
"May 2","18","0","1","0","0"
"May 3","15","2","0","0","0"
"May 4","26","3","0","0","0"
"May 5","16","3","1","0","3"
"May 6","10","0","0","0","0"
"May 7","17","1","0","0","0"
"May 8","11","1","1","0","0"
"May 9","19","3","0","0","0"
"May 10","6","0","0","0","0"
"May 11","14","3","0","0","0"
"May 12","4","0","0","0","0"
"May 13","13","0","0","0","0"
"May 14","5","1","0","0","0"
"May 15","9","1","0","0","0"
"May 16","21","2","1","0","0"
"May 17","24","2","1","0","0"
"May 18","5","0","0","0","0"
"May 19","152","9","7","1","1"
"May 20","221","15","6","2","1"
"May 21","35","3","3","0","0"
"May 22","655","17","31","0","2"
"May 23","382","15","14","2","1"
"May 24","104","3","5","0","1"
"May 25","59","7","1","0","0"
"May 26","83","6","5","0","0"
"May 27","61","3","1","0","1"
"May 28","142","7","2","0","0"
"May 29","89","3","1","0","0"
"May 30","61","1","1","0","0"
"May 31","36","1","0","0","0"
"June 1","24","1","0","0","0"
"June 2","34","4","0","0","0"
"June 3","42","0","2","0","0"
"June 4","68","7","2","0","0"
"June 5","64","1","1","0","2"
"June 6","53","5","2","0","0"
"June 7","34","3","0","0","0"
"June 8","38","5","2","0","0"
"June 9","66","4","2","0","0"
"June 10","43","4","0","0","0"
"June 11","26","0","1","0","0"
"June 12","15","0","0","0","0"
"June 13","28","2","0","0","0"
"June 14","418","6","26","0","0"
"June 15","1796","10","102","0","3"
"June 16","190","4","9","0","0"
"June 17","109","1","5","0","0"
"June 18","90","3","6","0","0"
"June 19","266","8","18","0","0"
"June 20","179","2","11","0","0"
"June 21","116","7","4","0","1"
"June 22","79","2","2","0","0"
"June 23","69","1","5","0","0"
"June 24","181","3","9","0","0"
"June 25","116","2","3","0","0"
"June 26","107","1","3","0","0"
"June 27","91","1","4","0","0"
"June 28","81","1","4","0","0"